@relation Tudo
 @attribute frase string
 @attribute PouN {P,N}
 @data
" beautiful different great love loved minutes remotely ", P
" different great love loved nothing strong terrific well ", P
" great ", P
" waste ", P
" great love ", P
" beautiful excellent ", P
" bad script strong well wonderful worse ", P
" love ", P
" amazing none wonderful ", P
" great ", P
" amazing great horrible ", P
" well ", P
" bad minutes well worse ", P
" great loved nothing well ", P
" enjoyed great ", P
" well ", P
" worse ", P
" great horrible poor terrible today why ", P
" love ", P
" great wonderful ", P
" plot trash ", P
" crap today well ", P
" boring enjoyed ", P
" great ", P
" well ", P
" great script ", P
" bad great ", P
" superb ", P
" horrible loved wonderful ", P
"  ", P
" enjoyed perfectly plot wonderful ", P
" bad love ", P
" love minutes poor trash ", P
" crap painful trash ", P
" finest nothing strong trash ", P
" horrible love well ", P
" bad well ", P
" mildly plot ridiculous script well why ", P
" poor ", P
" avoid strong ", P
" atrocious couldnt different wonderful ", P
" outstanding ", P
" bad enjoyed plot today ", P
" amazing ", P
" amazing love plot superb ", P
" minutes plot ", P
" crap plot predictable well ", P
" enjoyed love none plot ", P
"  ", P
" enjoyed great outstanding ", P
" amazing ", P
" excellent great loved superb well why ", P
"  ", P
" different excellent well ", P
" great ", P
"  ", P
"  ", P
" couldnt great loved ", P
" enjoyed great ", P
"  ", P
" couldnt why ", P
" outstanding why ", P
" crap love ", P
" superb ", P
" love nothing script worse ", P
" excellent love ", P
" bad love strong ", P
" rubbish supposed ", P
" beautiful well ", P
" great love ", P
" beautiful beautifully nothing ", P
" great strong ", P
" minutes nothing supposed ", P
" beautifully boring love nothing ", P
" embarrassed love ", P
" fantastic nothing ", P
" beautiful love well ", P
" excellent great ", P
"  ", P
" beautiful excellent finest love plot ", P
" great plot well ", P
" different excellent love well ", P
" amazing why ", P
" love plot well ", P
" amazing beautiful love ", P
" wonderful ", P
" amazing great script ", P
" love today well worse ", P
" enjoyed excellent supposed well ", P
" beautiful love loved ", P
" rubbish ", P
" beautiful love pathetic today touched well ", P
" beautiful excellent great love well ", P
" great love ", P
"  ", P
" great loved ", P
" great plot well ", P
" superb why ", P
" none strong ", P
" bad great well ", P
" avoid plot poor ", P
" love script touched well ", P
" different enjoyed great wonderful ", P
" favorite great ", P
" couldnt great terrific well ", P
" beautiful finest great love loved script strong well why wonderful ", P
" love none poor predictable superb well worse ", P
" great well ", P
" excellent great plot ", P
" different great why ", P
" well why ", P
" awful crap plot well ", P
" excellent great well ", P
" script superb why ", P
" well ", P
" great well ", P
" excellent love ", P
" amazing great love superb well wonderful ", P
" strong ", P
" love wonderful ", P
" stupid well ", P
" couldnt well why ", P
" awful bad enjoyed well ", P
" plot terrific well why ", P
" well why ", P
" great nothing plot script strong well ", P
" disaster excellent ", P
" none plot well ", P
"  ", P
" different great loved well ", P
" minutes well ", P
" beautifully excellent great nothing terrific worst ", P
" excellent finest ", P
" bad favorite great love plot well ", P
" nothing well ", P
" love wonderful ", P
" great well ", P
"  ", P
" stupid ", P
" supposed ", P
"  ", P
" great pointless ", P
" well ", P
" beautiful great ", P
" wonderful ", P
" excellent ", P
" loved well ", P
" different plot ", P
" boring ", P
" decent script ", P
" sorry terrific well ", P
" different great plot stupid ", P
" different great well ", P
" favorite why ", P
" bad horrible plot ", P
" bad great laughable love none nothing ", P
" bad plot script well ", P
" favorite why ", P
" great supposed well why ", P
" worse ", P
" favorite ", P
" bad great loved minutes plot script sorry well ", P
" beautifully plot ", P
" well ", P
" fantastic favorite well ", P
" excellent favorite great ", P
" nothing well ", P
" bad decent great well ", P
" why ", P
" great well ", P
" strong ", P
" crap great stupid worst ", P
" great nothing plot strong well ", P
" beautifully excellent great script well ", P
"  ", P
" different excellent great love ", P
" decent excellent ", P
" bad favorite lame minutes plot terrific ", P
" strong ", P
" bad great supposed well ", P
" nothing ", P
" decent poor why ", P
" great plot waste ", P
" great ", P
" bad well ", P
" love plot ", P
" great ", P
" beautiful ", P
" love loved ", P
" bad well ", P
" amazing beautiful love plot ", P
"  ", P
" beautiful great poor ", P
" enjoyed minutes script ", P
" bad love poor ", P
" beautiful plot ", P
" great love ", P
" bad couldnt favorite laughable ", P
" beautiful cheap fantastic great terrible well ", P
" horrible mstk why ", P
" boring fantastic script well ", P
" great nothing ", P
" plot script terrible well ", P
" different enjoyed well wonderful ", P
" great well ", P
" favorite well ", P
" sorry ", P
" bad crap well ", P
" great plot well ", P
" great ", P
" great well ", P
" well ", P
" annoying enjoyed ", P
" well ", P
" love predictable well ", P
"  ", P
" love ", P
" forgettable script ", P
" plot well why ", P
" bad excellent great love nothing why ", P
" predictable ", P
" bad great love ", P
" love ", P
"  ", P
"  ", P
"  ", P
" beautiful couldnt different great script ", P
" excellent great love script superb ", P
" excellent plot why ", P
" enjoyed ", P
" beautiful beautifully love why wonderful ", P
" beautifully boring different great horrible well ", P
" bad beautiful boring great love poor script superb wonderful ", P
" beautifully love nothing perfectly ", P
" beautiful beautifully enjoyed love ", P
"  ", P
" beautiful great plot terrific ", P
" excellent why ", P
" beautiful love ", P
" brilliantly enjoyed superb ", P
" today wonderful ", P
" different excellent great plot well ", P
" excellent fantastic love minutes well ", P
" boring fantastic favorite great love plot predictable ", P
" boring love sorry superb ", P
" beautiful different enjoyed ", P
" beautiful superb ", P
" beautifully love superb ", P
" different perfectly well ", P
" beautiful love strong ", P
" love nothing ridiculous ", P
" worse ", P
" love nothing ", P
" great plot ", P
" great why ", P
" bad plot ", P
" beautiful favorite love why ", P
" different excellent fantastic great ", P
" well why ", P
" great terrific well ", P
" minutes plot strong superb wonderful ", P
" well wonderful ", P
" great minutes well ", P
" excellent minutes superb well ", P
" excellent well ", P
" love ", P
" amazing excellent love minutes ", P
" love nothing today why ", P
" different favorite great love nothing plot well wonderful ", P
" loved ", P
" fantastic nothing well ", P
" fantastic love well ", P
" bother different enjoyed script strong well ", P
" excellent love ", P
" beautiful plot wonderful ", P
" love ", P
" none wonderful ", P
" bad excellent today ", P
"  ", P
" fantastic great superb wonderful ", P
" terrific well ", P
" bad fantastic favorite great love well ", P
" enjoyed great ", P
" bad fantastic script superb well why ", P
" nothing outstanding why ", P
" great nothing plot ", P
" beautiful great love plot wonderful ", P
" beautiful love well ", P
" excellent script well worse ", P
" cheap decent different enjoyed plot supposed well ", P
" excellent ", P
"  ", P
" excellent strong ", P
"  ", P
" excellent ", P
" great superb ", P
" couldnt plot well wonderful ", P
"  ", P
" well ", P
" bad cheap couldnt great love plot why ", P
"  ", P
" bad favorite nothing script well why ", P
" unfunny ", P
" enjoyed ", P
" bad favorite great love well ", P
" great well ", P
" love loved script ", P
" fantastic ", P
" great strong ", P
" boring great loved nothing stupid why ", P
" favorite great well ", P
" love ", P
" excellent love well why ", P
" different excellent loved ", P
" great terrific ", P
"  ", P
" beautifully love superb ", P
" different great plot today wonderful worse ", P
" lame minutes nothing perfectly plot superb terrible wonderful ", P
" love ", P
" bad different love nothing ", P
" amazing love loved ", P
"  ", P
" loved ", P
" excellent great love loved nothing perfectly ridiculous script terrific well why ", P
"  ", P
" bother different plot well ", P
" great loved well why ", P
" bad ", P
" excellent supposed well wonderful ", P
" different ", P
" great ", P
" enjoyed ", P
" love ", P
" bad great loved ", P
" beautiful great love plot today wonderful ", P
" bad love nothing strong why ", P
" bad crap stupid ", P
" enjoyed strong why ", P
" love ", P
" bad plot well why ", P
" brilliantly great unfunny wonderful ", P
" great love well ", P
" excellent great love ", P
" well ", P
"  ", P
" favorite loved ", P
" nothing wasted wonderful ", P
" couldnt excellent well ", P
"  ", P
" bad plot ", P
" great well ", P
" cheap great plot superb ", P
" love wonderful ", P
" well ", P
" bad different ", P
"  ", P
" great waste why ", P
" today ", P
" beautiful decent great nothing script well ", P
" bad strong ", P
" amazing decent wonderful ", P
" beautiful favorite well ", P
" cheap ", P
" beautifully ", P
" beautiful boring couldnt minutes plot well ", P
"  ", P
" superb ", P
" beautiful excellent plot poor well why ", P
" amazing beautiful excellent fantastic plot today well ", P
" horrible plot ", P
" beautiful favorite well ", P
" excellent ", P
" beautiful great ", P
" amazing brilliantly ", P
" minutes ", P
" amazing beautiful ", P
" amazing beautifully love loved wasted worse ", P
" bad excellent great perfectly wonderful ", P
" different minutes wonderful ", P
" horrible ", P
" love loved ", P
"  ", P
" bad favorite well wonderful ", P
" amazing annoying bad beautiful forgettable love loved script terrible wonderful ", P
" well ", P
" excellent great love wonderful ", P
" different love why ", P
" couldnt decent great terrible ", P
" minutes plot why ", P
" love loved ", P
" bad great love loved ", P
" wonderful ", P
" amazing enjoyed love sorry touched ", P
" loved well ", P
" bad love ", P
"  ", P
" favorite great love ", P
" great well why ", P
" couldnt plot superb ", P
" brilliantly great ", P
" beautiful stupid well wonderful ", P
"  ", P
" fantastic ", P
" superb ", P
" couldnt poor well why ", P
" different great poor ", P
" love well ", P
" cheap different great plot well why ", P
" love well ", P
" different excellent none nothing ", P
" great love superb well ", P
" excellent great outstanding ", P
" favorite great outstanding ", P
" outstanding ", P
" beautifully different excellent love minutes painful strong terrific why wonderful ", P
" well ", P
" outstanding superb ", P
" love loved ", P
"  ", P
" well wonderful ", P
" bad great minutes perfectly well why ", P
" great love nothing script wasted well ", P
" great love outstanding ", P
" great minutes terrific ", P
" excellent ", P
" great perfectly well ", P
" bad great outstanding wonderful ", P
" loved ", P
" bad wasted ", P
" nothing ", P
" bother nothing ", P
" beautiful love well why ", P
" bad great love ", P
" brilliantly enjoyed love loved plot well why ", P
" avoid bad boring brilliantly fails love plot predictable strong supposed today well why ", P
" bad excellent great ", P
" enjoyed great love minutes remotely today well ", P
" couldnt great nothing plot ", P
" bad decent favorite great love well ", P
" turkey well ", P
" plot trash ", P
" different love ", P
" beautiful ", P
" different none nothing plot ", P
" bad great loved ", P
" different nothing strong ", P
" well ", P
" excellent great love ", P
" excellent great love ", P
" fails ", P
" bad different excellent great poor poorly today ", P
" loved perfectly ", P
"  ", P
" amazing ", P
" well ", P
"  ", P
" amazing terrific ", P
" different great ", P
" excellent great ", P
" excellent today well ", P
"  ", P
" nothing wonderful ", P
" great love wonderful ", P
" bad nothing waste ", P
" love supposed well ", P
" love ridiculous supposed why ", P
" bad enjoyed plot ", P
" bad love strong ", P
" bad love ", P
" annoying loved well ", P
" strong ", P
" bad why wonderful ", P
" favorite ", P
" great loved today ", P
" enjoyed great loved poor ", P
" amazing well ", P
" great pointless ", P
" great ", P
" enjoyed ", P
"  ", P
" decent plot why ", P
" great ", P
" great love loved predictable ", P
" annoying great loved ", P
" terrific ", P
" loved ", P
" couldnt great ", P
" beautiful enjoyed favorite great loved minutes plot stupid ", P
" bad pathetic stupid supposed well ", P
" enjoyed loved minutes well ", P
" great love well ", P
" great love loved ", P
" beautiful nothing ", P
" favorite loved supposed today trash why ", P
" perfectly ", P
" loved ", P
" great minutes nothing script well wonderful ", P
" annoying beautiful different great love none ", P
" fantastic love ", P
" bad ", P
" brilliantly rubbish wasted ", P
" boring great loved outstanding ", P
" great ", P
" superb ", P
" great ", P
" well ", P
" bad excellent great nothing ", P
" fails great plot ", P
" different love nothing outstanding touched well ", P
" fantastic why ", P
" great well ", P
" perfectly ", P
" excellent ", P
" great ", P
" well ", P
"  ", P
" bad favorite love well why ", P
" great loved ", P
" amazing bad couldnt ", P
"  ", P
" enjoyed finest ", P
" great ", P
" enjoyed ", P
" favorite well why ", P
" couldnt enjoyed excellent great horrible supposed ", P
" great well ", P
" great plot ", P
" plot ", P
" great well ", P
" different nothing predictable well ", P
" amazing ", P
" well why ", P
" beautiful different great ", P
" amazing enjoyed well why ", P
" amazing different love wonderful ", P
"  ", P
" different love ", P
" different great lame ", P
"  ", P
" love touched wonderful ", P
" dreadful enjoyed ", P
" amazing favorite ", P
" annoying ", P
" brilliantly different excellent fantastic ", P
" different excellent loved strong ", P
" loved ", P
" bad great love nothing well why ", P
" bad excellent great horrible well ", P
" bad beautiful love well ", P
" love ", P
" avoid bad beautiful beautifully couldnt love perfectly supposed today well ", P
" bad dreadful great nothing rubbish script well ", P
" decent excellent great love ", P
" great outstanding plot script ", P
" great love why ", P
" nothing today well ", P
" wonderful ", P
" great well wonderful ", P
" loved ", P
" great loved ", P
"  ", P
" love ", P
" beautiful enjoyed great love ", P
" amazing enjoyed loved why ", P
" different ", P
" amazing couldnt decent great love loved minutes none perfectly today well ", P
" amazing love well ", P
" couldnt love nothing poor ", P
" bad love today well ", P
"  ", P
" today well why ", P
" excellent great love ", P
"  ", P
" love ", P
" amazing bad terrific well ", P
" outstanding today well ", P
"  ", P
" beautiful why ", P
" amazing beautiful boring love loved minutes today ", P
" excellent love perfectly ", P
" great well ", P
" great minutes ", P
" nothing poor today well ", P
" amazing well ", P
" great poorly ", P
" love well why ", P
" beautifully ", P
" decent excellent great horrible nothing ", P
" bad fantastic great skip sorry terrific today well why ", P
"  ", P
" bad excellent great script well ", P
" decent loved stupid terrible ", P
" script well ", P
"  ", P
" different ", P
" avoid bad beautiful beautifully love nothing pointless sorry stupid well worse ", P
"  ", P
" cheap great plot supposed well why wonderful ", P
"  ", P
" boring why ", P
" different why ", P
" favorite minutes nothing ", P
" none ", P
" different well ", P
" horrible plot skip ", P
" bad beautiful beautifully bother ", P
" bad great love loved script ", P
" horrible ", P
" love ", P
" bad beautiful excellent minutes ", P
" couldnt great today worst ", P
" finest ", P
" atrocious awful beautiful different nothing why ", P
"  ", P
" today ", P
"  ", P
" great plot ", P
" couldnt love ", P
" beautiful enjoyed love minutes script strong well ", P
" fails great love ", P
" beautifully enjoyed great well ", P
" great horrible love plot terrific well ", P
" beautiful great ", P
" beautiful predictable ", P
" beautiful excellent great love perfectly well ", P
" amazing loved plot ", P
" decent love well why ", P
" beautiful couldnt love strong well ", P
" enjoyed script supposed well ", P
" bad horrible love perfectly ", P
" beautiful great love ", P
" beautiful bother different love nothing outstanding script strong ", P
" favorite superb well ", P
" beautiful love plot terrible wonderful worse ", P
" enjoyed great well ", P
" couldnt great plot ", P
" enjoyed well ", P
" different ", P
" beautiful great plot ", P
" poor ", P
" well ", P
" amazing love ", P
" great ", P
" boring brilliantly superb ", P
" couldnt different ", P
" bad excellent great nothing plot terrible terrific well worse ", P
" beautiful beautifully excellent love script ", P
" plot well why ", P
" amazing beautiful boring great script ", P
" different horrible plot why ", P
" awful bad fantastic ", P
" well ", P
" enjoyed great sorry ", P
"  ", P
" superb ", P
" beautiful excellent love perfectly plot ", P
" minutes ridiculous why ", P
" great ", P
" different excellent great ", P
" different excellent plot ", P
" amazing bad brilliantly great ", P
" enjoyed laughable nothing stupid ", P
" great ", P
" different loved well ", P
" well ", P
" finest great well ", P
" excellent great outstanding terrific ", P
" nothing ", P
" love minutes ", P
" bad boring great script ", P
" great ", P
"  ", P
" pointless supposed well ", P
" beautiful well why ", P
" great script ", P
" bad decent different poor rubbish ", P
" annoying boring great love nothing terrible well ", P
"  ", P
" beautifully well ", P
" bad disaster great nothing ", P
" excellent great plot well ", P
" great ", P
" great plot poor ", P
" beautiful love perfectly ridiculous why ", P
" strong terrific well why ", P
" beautiful crap decent enjoyed today well ", P
" different great plot script ", P
" cheap fantastic great love trash well ", P
" different enjoyed excellent great script waste well ", P
" favorite great strong ", P
" bad beautiful cheap different great horrible loved minutes script supposed terrific well ", P
" great none nothing ridiculous strong well ", P
" bad great nothing ", P
" amazing crap great loved nothing superb terrific well ", P
" different disaster excellent ridiculous script ", P
" excellent nothing why ", P
" disaster none ", P
" beautiful decent ridiculous terrible worst ", P
" different love minutes perfectly plot poor predictable well ", P
" beautiful favorite great love wonderful ", P
" amazing boring decent different favorite love minutes well ", P
" bad beautiful love loved plot touched well ", P
" great love ", P
" love today ", P
" couldnt ", P
" nothing today well ", P
" minutes superb terrific today ", P
" well ", P
"  ", P
" couldnt ", P
" great nothing ", P
" beautifully great plot ", P
" well ", P
" beautiful beautifully wonderful ", P
" love terrific well ", P
" different favorite great ", P
"  ", P
" enjoyed great love pathetic script strong well ", P
" enjoyed great well ", P
" excellent superb ", P
" great sorry wonderful ", P
" bad beautiful cheap excellent painful plot well ", P
"  ", P
" well worse ", P
" excellent wonderful ", P
"  ", P
" bother love well ", P
" beautifully excellent great script ", P
" annoying nothing superb ", P
" great minutes well worse ", P
" love none today well ", P
" love ", P
" great minutes plot well ", P
" amazing beautiful great well ", P
" terrible ", P
"  ", P
" beautifully ", P
" beautiful love loved outstanding supposed well ", P
" nothing today ", P
" great ", P
" plot script ", P
" plot well ", P
"  ", P
" nothing plot wonderful worse ", P
" boring enjoyed great wonderful ", P
" great plot well ", P
" bad excellent ", P
"  ", P
"  ", P
"  ", P
" different excellent great strong ", P
" love well ", P
" enjoyed fantastic great script ", P
" bad plot ", P
" different script strong well ", P
" great wonderful ", P
" love well ", P
" beautiful boring plot ", P
" amazing bad sorry well ", P
" enjoyed loved perfectly worse ", P
" plot today ", P
" worse ", P
" different ", P
" minutes plot ", P
" great well ", P
" cheap different fails great plot ", P
" none stupid well ", P
" beautiful excellent nothing ", P
" different great nothing ", P
" beautiful boring love ", P
" bad wonderful ", P
" beautiful favorite finest plot strong why wonderful ", P
" bad favorite great painful poor strong well ", P
" beautifully enjoyed great love plot strong ", P
" love ", P
" wonderful ", P
" love ", P
" beautiful different great today ", P
" favorite ", P
" fantastic great superb well ", P
" beautiful great perfectly plot why ", P
" excellent plot well ", P
" beautiful favorite great script well wonderful ", P
" great love poor ", P
" beautiful ", P
" love loved well wonderful ", P
" excellent wonderful ", P
" beautiful excellent plot well ", P
" great loved ", P
" bad love ", P
" amazing love loved ", P
" bother favorite great script well wonderful ", P
" beautiful favorite love ", P
" great ", P
" great love well ", P
" well why ", P
" favorite plot ", P
" bad great ", P
" plot script ", P
" worst ", P
"  ", P
" amazing love loved perfectly ", P
" amazing beautiful excellent loved well ", P
" minutes ", P
" beautiful great love plot superb ", P
" minutes touched ", P
" excellent well ", P
" great wonderful ", P
" great nothing plot ", P
" different well ", P
" beautiful wonderful ", P
" different plot well ", P
" script superb ", P
" plot supposed ", P
" why ", P
"  ", P
" well ", P
" poor well ", P
" love well ", P
" well ", P
" boring great love nothing ", P
" beautiful loved predictable script ", P
" beautifully great well why ", P
" great ", P
" enjoyed great horrible plot ", P
" bad plot ", P
" excellent ", P
" decent great love loved outstanding skip stupid ", P
" none why ", P
" crap great love why ", P
" great predictable ", P
" excellent great love ", P
"  ", P
" love ", P
" great well ", P
" great loved plot ", P
" brilliantly excellent well ", P
" excellent minutes plot well ", P
" cheap love plot trash well why ", P
" different terrible ", P
" great perfectly why wonderful ", P
" love strong well ", P
" well ", P
" love ", P
" bad different great ", P
" different ", P
" annoying awful ", P
" great ", P
" bad boring excellent fantastic great plot well wonderful ", P
" great well ", P
" great perfectly well ", P
" annoying couldnt horrible loved ", P
"  ", P
" love ", P
"  ", P
" nothing script ", P
" annoying bad beautifully excellent favorite well ", P
" great love ", P
" amazing awful boring cheap couldnt different plot well why ", P
" love ", P
" plot ", P
" bad plot well ", P
" wonderful ", P
" bad great love well ", P
" love strong well ", P
" well ", P
" terrific ", P
" excellent great script well ", P
" loved ", P
" love predictable script ", P
" different wonderful ", P
"  ", P
" love nothing why ", P
" why ", P
" excellent minutes poor well ", P
" bad ", P
" decent ", P
" beautiful strong well ", P
" awful lame plot well ", P
" beautiful couldnt favorite laughable predictable well ", P
" bad beautiful favorite great ", P
" love loved ", P
" favorite great touched ", P
" great poor strong ", P
" fantastic great why ", P
" plot why ", P
" favorite loved outstanding touched well wonderful ", P
" couldnt enjoyed excellent fails great remotely sorry worst ", P
" excellent great horrible ", P
" boring minutes script ", P
" different ", P
" well ", P
" great today ", P
" amazing minutes plot ", P
"  ", P
" great love plot ", P
" excellent great nothing well ", P
" bad great poor well ", P
"  ", P
" bad different fantastic great love loved mildly plot strong well ", P
" amazing fantastic great well ", P
" crap excellent fantastic superb well ", P
" awful couldnt fantastic loved perfectly script ", P
" amazing bad enjoyed great plot well ", P
" different excellent plot well ", P
" different excellent plot strong ", P
" love well ", P
" bad great love minutes well ", P
" favorite great well ", P
" decent different great love well ", P
" couldnt different fantastic great love well ", P
" excellent ", P
" excellent lame nothing ", P
" enjoyed great plot well ", P
" boring great loved terrific well wonderful ", P
" well ", P
" excellent well ", P
" finest today well ", P
" brilliantly great love script well ", P
" bad different excellent great ", P
" different great loved ", P
" fantastic great plot script well ", P
" bother fantastic great plot ", P
" plot wonderful ", P
" brilliantly enjoyed fails fantastic great well ", P
" plot script ", P
" amazing excellent minutes ", P
" different great minutes plot well ", P
" different excellent great well ", P
" plot unfunny ", P
" bad different plot ", P
" great plot ", P
" great love loved plot ", P
" cheap different great loved why ", P
" amazing great love plot ", P
" boring different script well ", P
" great lame nothing plot sorry waste why ", P
" atrocious bad great pathetic plot ridiculous ", P
" fails poor ", P
" favorite ", P
"  ", P
" boring nothing poor ", P
" nothing well ", P
" superb well ", P
" boring great nothing skip well ", P
" worse ", P
" decent different nothing plot pointless today ", P
"  ", P
" great loved none well why ", P
" excellent favorite ", P
" excellent turkey well ", P
" beautiful great ", P
" fantastic love wonderful ", P
" great script well ", P
" finest well ", P
" fantastic love ", P
" excellent nothing strong ", P
" finest perfectly superb today well ", P
" well ", P
" beautiful great outstanding ", P
" favorite plot ", P
"  ", P
" loved ", P
" poor ", P
"  ", P
" cheap none remotely script unfunny ", P
" bad ridiculous stupid ", P
" bad favorite well ", P
" bad enjoyed stupid ", P
" different great ", P
" bad enjoyed plot ", P
" bad plot ", P
" favorite love why ", P
"  ", P
" great plot ", P
" beautiful great well ", P
" strong ", P
" great strong ", P
" great strong well ", P
" favorite minutes well ", P
" plot ", P
" bad script wonderful ", P
" bad excellent wonderful ", P
" favorite why ", P
" excellent nothing plot well ", P
" well ", P
" bad beautiful enjoyed mildly plot well ", P
" predictable script well ", P
" bad different mildly well ", P
"  ", P
"  ", P
"  ", P
" amazing bad ridiculous well ", P
" great ", P
" excellent none ", P
" great ", P
" well why ", P
" bad excellent love strong worse ", P
" bad great ", P
" amazing great ", P
" predictable why ", P
" bad well why ", P
" bad couldnt different enjoyed great script ", P
" amazing annoying bad great love minutes poor well ", P
" different lame loved well ", P
" fantastic great mildly script well ", P
" why wonderful ", P
" amazing enjoyed ", P
" beautiful beautifully enjoyed fails love plot waste well why ", P
" well ", P
" bad excellent great plot superb ", P
" bad excellent love ", P
" great ", P
" great plot ", P
" bad different great plot supposed well ", P
" amazing different love why ", P
" beautifully cheap different excellent favorite great ", P
" beautiful great love why ", P
" bad couldnt love strong terrific well ", P
" annoying great stupid wonderful ", P
" great love ", P
" bad crap love script why ", P
" amazing couldnt great love wonderful ", P
" amazing love ", P
" love touched ", P
" amazing favorite love loved well ", P
" great love nothing well ", P
" love well ", P
" couldnt enjoyed great love plot well ", P
" boring different ", P
" amazing loved ", P
" fantastic favorite love loved well why ", P
" favorite great well ", P
" well why ", P
" beautiful fantastic love well ", P
" enjoyed great love today ", P
" love ", P
" great love terrific wonderful ", P
" bad great sorry ", P
"  ", P
" minutes plot why ", P
" beautiful love ", P
" excellent love sorry ", P
" beautiful enjoyed great plot predictable script strong touched wonderful ", P
" favorite love perfectly plot well ", P
" brilliantly fantastic love superb ", P
" love loved ", P
" beautiful fantastic ", P
" great stupid well ", P
" fantastic stupid ", P
" loved minutes ", P
" different enjoyed great ", P
"  ", P
" great love loved nothing terrific ", P
" love loved script well ", P
" great ", P
" great poor ", P
" plot predictable ", P
" bother love ", P
" different ", P
" bother supposed ", P
" enjoyed well ", P
" great love plot script well ", P
" avoid great plot script well ", P
" avoid bad plot predictable today well wonderful ", P
" trash why ", P
" poor ", P
" enjoyed plot ", P
" love ", P
" great ", P
" annoying awful great lame perfectly plot script terrible today worse ", P
" great love well wonderful ", P
" bad couldnt great love poor why ", P
" enjoyed excellent ", P
" great well ", P
" awful ", P
" bad dreadful enjoyed excellent lame loved ", P
"  ", P
" favorite poor ", P
" enjoyed great ", P
" excellent favorite today well ", P
" great nothing today ", P
"  ", P
" crap nothing ", P
" great ", P
" excellent ", P
" love ", P
" great love ", P
" enjoyed ", P
" finest touched ", P
" great today ", P
" beautiful excellent great ", P
" excellent ", P
" today well ", P
" finest loved none wonderful wooden ", P
"  ", P
" beautiful ", P
" enjoyed superb ", P
" excellent ", P
" beautiful love loved why ", P
" beautiful ", P
" excellent ", P
" excellent love why ", P
" excellent love worse ", P
" bad ", P
" fantastic perfectly script superb well ", P
" today why ", P
"  ", P
" boring great love script well ", P
" favorite poor strong well wonderful ", P
" plot wonderful ", P
" cheap love predictable superb well ", P
" love strong ", P
" love script why worst ", P
" great sorry why ", P
"  ", P
" bad favorite ", P
" amazing excellent finest great minutes nothing script ", P
" beautiful love well wonderful ", P
" great plot well ", P
" great plot well ", P
" none ridiculous well ", P
" great ", P
" nothing wasted ", P
" great minutes ", P
" beautiful great love minutes plot stupid why ", P
" bad decent different great plot well ", P
" bad beautiful ", P
" favorite ", P
" amazing excellent great love minutes ", P
" excellent loved well ", P
" bad different plot terrific worst ", P
" beautiful ", P
" beautiful boring great minutes plot sorry waste wooden ", P
" bad excellent plot ", P
" beautiful great wonderful ", P
" boring minutes nothing plot why ", P
" amazing great love ", P
" bad different enjoyed ", P
" amazing bad great nothing sorry well ", P
" bad minutes well why ", P
" none why ", P
" horrible minutes none well ", P
" beautifully brilliantly ", P
" excellent favorite love ", P
" great script ", P
" decent great why ", P
" couldnt ", P
" wonderful ", P
" amazing annoying bad beautiful fantastic minutes ", P
" none strong terrible ", P
" enjoyed why ", P
" great plot well ", P
" amazing love none predictable well ", P
" excellent script ", P
" great loved plot ", P
" great plot well ", P
"  ", P
" great love well ", P
" decent excellent turkey worse ", P
" great loved predictable ", P
" bad enjoyed superb ", P
" great ", P
" great script strong well ", P
" finest forgettable ", P
" enjoyed excellent ", P
" beautiful excellent nothing superb well ", P
" avoid great strong superb ", P
" beautifully enjoyed ", P
" amazing well wonderful ", P
" love superb ", P
" different fantastic great perfectly well why wonderful ", P
" bad different why ", P
" different fantastic great love ", P
" excellent fantastic ", P
" beautifully ", P
" amazing enjoyed great love loved ", P
" awful ", P
" love loved ", P
" bad ridiculous touched ", P
" great love perfectly ", P
" beautifully enjoyed excellent ", P
" great loved today why ", P
" couldnt ", P
" bad great minutes well ", P
" excellent plot well ", P
" favorite well ", P
" beautiful excellent perfectly terrific ", P
"  ", P
" enjoyed strong well ", P
" love ", P
" awful great poor wonderful ", P
" supposed ", P
" favorite great loved ", P
"  ", P
" couldnt favorite none ", P
" great love well why ", P
" great today ", P
" enjoyed ", P
" favorite well ", P
" strong wonderful ", P
" different why ", P
" different ", P
"  ", P
" strong well ", P
" excellent great script well ", P
" bad beautiful love today ", P
" beautiful ", P
" nothing perfectly well ", P
" fails well ", P
" great well ", P
" fantastic great ", P
" boring great ", P
" different great ", P
" love ", P
" annoying bad different well why ", P
"  ", P
" bad boring brilliantly nothing well ", P
" well ", P
" different great ", P
" brilliantly different great ", P
" beautiful great wonderful ", P
" great love loved why worse ", P
" excellent ", P
" minutes well ", P
" beautiful enjoyed ", P
" well ", P
" excellent stupid ", P
" enjoyed ", P
" amazing enjoyed great love loved wonderful ", P
" beautiful excellent favorite great loved why ", P
" lame script terrific well ", P
" fantastic minutes ", P
" loved why ", P
" bad different ", P
" beautiful superb ", P
" amazing beautiful excellent great terrible ", P
" couldnt disaster great minutes perfectly script why ", P
" strong ", P
" great love today ", P
" nothing plot well ", P
" amazing nothing perfectly ", P
" plot ", P
" well ", P
" superb ", P
"  ", P
"  ", P
" amazing ", P
" love ", P
" crap love script ", P
" favorite ", P
"  ", P
"  ", P
" love ", P
" favorite nothing ", P
" bad great love today ", P
" love poor well ", P
" amazing love ", P
" great well ", P
"  ", P
" amazing excellent favorite great ", P
" bad beautiful love trash wonderful ", P
" great plot ", P
" boring couldnt great script well ", P
